name,cohort_id,cohort_entries,cohort_subjects,database_id
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation with Age < 65,141000081,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Black or African American,111000091,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with Black or African American,112000091,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Black or African American,113000091,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with Black or African American,114000091,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with Black or African American,115000091,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with Black or African American,116000091,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation with Black or African American,126000091,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation with Black or African American,127000091,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation with Black or African American,128000091,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation with Black or African American,129000091,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Black or African American,130000091,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Black or African American,131000091,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with Black or African American,132000091,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Black or African American,133000091,NA,NA,NA
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Black or African American,134000091,NA,NA,NA
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Black or African American,135000091,NA,NA,NA
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Black or African American,136000091,NA,NA,NA
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Black or African American,137000091,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with Black or African American,138000091,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with Black or African American,139000091,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with Black or African American,140000091,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation with Black or African American,141000091,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with White,111000101,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with White,112000101,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with White,113000101,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with White,114000101,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with White,115000101,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with White,116000101,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation with White,126000101,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation with White,127000101,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation with White,128000101,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation with White,129000101,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with White,130000101,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with White,131000101,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with White,132000101,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with White,133000101,NA,NA,NA
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with White,134000101,NA,NA,NA
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with White,135000101,NA,NA,NA
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with White,136000101,NA,NA,NA
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with White,137000101,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with White,138000101,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with White,139000101,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with White,140000101,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation with White,141000101,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Index date: Jan 2020,111000111,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with Index date: Jan 2020,112000111,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Index date: Jan 2020,113000111,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with Index date: Jan 2020,114000111,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with Index date: Jan 2020,115000111,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with Index date: Jan 2020,116000111,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation with Index date: Jan 2020,126000111,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation with Index date: Jan 2020,127000111,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation with Index date: Jan 2020,128000111,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation with Index date: Jan 2020,129000111,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Index date: Jan 2020,130000111,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Index date: Jan 2020,131000111,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with Index date: Jan 2020,132000111,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Index date: Jan 2020,133000111,NA,NA,NA
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Index date: Jan 2020,134000111,NA,NA,NA
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Index date: Jan 2020,135000111,NA,NA,NA
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Index date: Jan 2020,136000111,NA,NA,NA
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Index date: Jan 2020,137000111,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with Index date: Jan 2020,138000111,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with Index date: Jan 2020,139000111,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with Index date: Jan 2020,140000111,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation with Index date: Jan 2020,141000111,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Index date: Feb 2020,111000121,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with Index date: Feb 2020,112000121,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Index date: Feb 2020,113000121,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with Index date: Feb 2020,114000121,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with Index date: Feb 2020,115000121,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with Index date: Feb 2020,116000121,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation with Index date: Feb 2020,126000121,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation with Index date: Feb 2020,127000121,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation with Index date: Feb 2020,128000121,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation with Index date: Feb 2020,129000121,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Index date: Feb 2020,130000121,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Index date: Feb 2020,131000121,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with Index date: Feb 2020,132000121,246,246,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Index date: Feb 2020,133000121,277,277,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Index date: Feb 2020,134000121,10,10,PREMIER
